Identifier,Type,Rate
456,Cs-137,1.26E+06
19,Cs-137,1.51E+06
52,Cs-137,1.52E+06
54,Cs-137,1.25E+06
64,Cs-137,7.55E+05
79,Cs-137,9.92E+05
122,Cs-137,6.48E+05
137,Cs-137,4.66E+05
455,Cs-137,1.31E+06
63,Cs-137,5.11E+05
78,Cs-137,1.11E+06
472,Cs-137,9.62E+05
490,Cs-137,3.19E+06
35,Cs-137,1.29E+06
17,Cs-137,1.63E+06
18,Cs-137,7.84E+05
93,Cs-137,6.85E+05
136,Cs-137,1.65E+06
256,Cs-137,5.44E+06
399,Cs-137,7.59E+05
452,Cs-137,2.48E+05
454,Cs-137,1.55E+06
470,Cs-137,1.81E+06
471,Cs-137,4.44E+05
506,Cs-137,1.04E+06
535,Cs-137,1.69E+06
241,Cs-137,5.70E+05
436,Cs-137,7.77E+05
50,Cs-137,1.84E+06
347,Cs-137,1.35E+06
62,Cs-137,1.89E+06
3,Cs-137,6.59E+05
5,Cs-137,1.84E+06
106,Cs-137,1.58E+06
121,Cs-137,6.70E+05
138,Cs-137,7.10E+05
213,Cs-137,2.59E+06
380,Cs-137,3.89E+05
392,Cs-137,3.92E+05
453,Cs-137,
486,Cs-137,1.45E+06
487,Cs-137,1.74E+06
226,Cs-137,8.51E+05
48,Cs-137,1.40E+06
61,Cs-137,1.47E+06
214,Cs-137,1.99E+06
421,Cs-137,1.30E+06
505,Cs-137,2.24E+06
518,Cs-137,1.53E+06
21,Cs-137,2.12E+06
33,Cs-137,1.32E+06
92,Cs-137,3.11E+05
2,Cs-137,1.50E+06
4,Cs-137,1.51E+06
16,Cs-137,1.95E+06
25,Cs-137,3.74E+06
34,Cs-137,8.51E+05
46,Cs-137,2.45E+06
47,Cs-137,1.79E+06
77,Cs-137,6.81E+05
212,Cs-137,2.60E+06
271,Cs-137,1.34E+06
473,Cs-137,2.34E+06
485,Cs-137,2.89E+06
533,Cs-137,2.09E+06
8,Cs-137,5.66E+06
76,Cs-137,1.89E+06
502,Cs-137,3.34E+06
532,Cs-137,3.43E+06
1,Cs-137,2.50E+06
6,Cs-137,4.74E+06
24,Cs-137,6.40E+06
32,Cs-137,2.17E+06
37,Cs-137,6.73E+06
39,Cs-137,7.03E+06
91,Cs-137,1.75E+06
365,Cs-137,4.26E+06
468,Cs-137,3.24E+06
484,Cs-137,2.23E+06
501,Cs-137,2.95E+06
503,Cs-137,2.62E+06
504,Cs-137,3.77E+06
514,Cs-137,2.20E+06
516,Cs-137,8.44E+05
519,Cs-137,3.81E+06
528,Cs-137,2.38E+06
529,Cs-137,1.78E+06
530,Cs-137,1.02E+06
534,Cs-137,5.29E+06
7,Cs-137,5.33E+06
346,Cs-137,1.38E+06
9,Cs-137,6.11E+06
31,Cs-137,2.28E+06
38,Cs-137,5.62E+06
378,Cs-137,4.07E+06
515,Cs-137,4.03E+06
363,Cs-137,1.45E+06
483,Cs-137,2.55E+06
513,Cs-137,4.66E+05
361,Cs-137,1.12E+06
466,Cs-137,4.63E+06
527,Cs-137,2.87E+06
22,Cs-137,6.66E+06
53,Cs-137,4.29E+06
362,Cs-137,3.31E+06
467,Cs-137,1.84E+06
481,Cs-137,4.48E+06
482,Cs-137,3.44E+06
526,Cs-137,2.59E+06
451,Cs-137,4.77E+06
377,Cs-137,4.22E+06
497,Cs-137,5.14E+06
511,Cs-137,5.00E+06
499,Cs-137,5.51E+06
512,Cs-137,6.25E+06
23,Cs-137,1.66E+07
496,Cs-137,8.29E+06
68,Cs-137,4.77E+06
498,Cs-137,8.07E+06
376,Cs-137,9.69E+06
36,Cs-137,
58,Cs-137,
69,Cs-137,
71,Cs-137,
84,Cs-137,
86,Cs-137,
99,Cs-137,
101,Cs-137,
134,Cs-137,
151,Cs-137,
152,Cs-137,
166,Cs-137,
177,Cs-137,
182,Cs-137,
186,Cs-137,
189,Cs-137,
191,Cs-137,
192,Cs-137,
196,Cs-137,
197,Cs-137,
198,Cs-137,
199,Cs-137,
200,Cs-137,
204,Cs-137,
205,Cs-137,
208,Cs-137,
211,Cs-137,
223,Cs-137,
224,Cs-137,
243,Cs-137,
278,Cs-137,
325,Cs-137,
333,Cs-137,
343,Cs-137,
367,Cs-137,
371,Cs-137,
374,Cs-137,2.22E+04
379,Cs-137,
381,Cs-137,2.96E+05
400,Cs-137,
407,Cs-137,
410,Cs-137,
414,Cs-137,
422,Cs-137,
423,Cs-137,
429,Cs-137,
469,Cs-137,
493,Cs-137,
500,Cs-137,
517,Cs-137,
531,Cs-137,
