Identifier,Type,Rate
299,Ru-106,
300,Ru-106,2.96E+04
314,Ru-106,
315,Ru-106,
327,Ru-106,2.59E+04
328,Ru-106,
329,Ru-106,
330,Ru-106,
344,Ru-106,3.70E+04
345,Ru-106,
375,Ru-106,
118,Ru-106,3.70E+04
147,Ru-106,
150,Ru-106,
175,Ru-106,5.92E+04
324,Ru-106,8.14E+04
357,Ru-106,
419,Ru-106,
60,Ru-106,
102,Ru-106,4.81E+04
104,Ru-106,2.22E+04
105,Ru-106,1.48E+04
120,Ru-106,
148,Ru-106,3.70E+04
149,Ru-106,1.48E+04
209,Ru-106,5.55E+04
251,Ru-106,5.92E+04
285,Ru-106,
298,Ru-106,2.96E+04
312,Ru-106,2.96E+04
313,Ru-106,
341,Ru-106,2.96E+04
190,Ru-106,1.11E+05
57,Ru-106,3.70E+04
74,Ru-106,
75,Ru-106,4.07E+04
117,Ru-106,4.44E+04
207,Ru-106,8.88E+04
210,Ru-106,4.07E+04
225,Ru-106,
270,Ru-106,
326,Ru-106,2.22E+04
342,Ru-106,1.11E+04
45,Ru-106,6.66E+04
72,Ru-106,8.51E+04
87,Ru-106,4.81E+04
103,Ru-106,6.29E+04
119,Ru-106,2.96E+04
146,Ru-106,5.55E+04
164,Ru-106,4.07E+04
176,Ru-106,5.18E+04
178,Ru-106,1.18E+05
179,Ru-106,2.96E+04
240,Ru-106,
253,Ru-106,2.26E+05
254,Ru-106,2.59E+04
255,Ru-106,4.07E+04
269,Ru-106,
283,Ru-106,8.88E+04
295,Ru-106,1.44E+05
309,Ru-106,4.44E+04
311,Ru-106,1.11E+04
336,Ru-106,1.11E+05
339,Ru-106,2.96E+04
358,Ru-106,
418,Ru-106,6.29E+04
44,Ru-106,
131,Ru-106,7.03E+04
160,Ru-106,9.25E+04
162,Ru-106,3.33E+04
239,Ru-106,5.18E+04
252,Ru-106,5.18E+04
268,Ru-106,8.14E+04
282,Ru-106,9.25E+04
284,Ru-106,8.14E+04
340,Ru-106,1.48E+04
540,Ru-106,
116,Ru-106,1.37E+05
133,Ru-106,
161,Ru-106,2.22E+04
188,Ru-106,1.37E+05
220,Ru-106,1.44E+05
222,Ru-106,
238,Ru-106,
297,Ru-106,5.18E+04
310,Ru-106,7.77E+04
320,Ru-106,3.70E+05
323,Ru-106,1.26E+05
338,Ru-106,5.55E+04
356,Ru-106,4.07E+04
387,Ru-106,2.18E+05
15,Ru-106,4.81E+04
29,Ru-106,6.29E+04
132,Ru-106,7.40E+03
145,Ru-106,
236,Ru-106,1.37E+05
237,Ru-106,7.77E+04
30,Ru-106,5.55E+04
56,Ru-106,5.18E+04
115,Ru-106,1.07E+05
144,Ru-106,1.22E+05
159,Ru-106,1.96E+05
172,Ru-106,1.96E+05
174,Ru-106,1.41E+05
187,Ru-106,1.41E+05
234,Ru-106,2.18E+05
235,Ru-106,1.18E+05
266,Ru-106,1.04E+05
267,Ru-106,1.07E+05
294,Ru-106,1.07E+05
296,Ru-106,1.18E+05
322,Ru-106,1.67E+05
370,Ru-106,8.88E+04
373,Ru-106,
417,Ru-106,8.14E+04
420,Ru-106,4.07E+04
112,Ru-106,3.55E+05
113,Ru-106,2.37E+05
130,Ru-106,9.62E+04
157,Ru-106,8.51E+04
221,Ru-106,2.96E+05
248,Ru-106,2.96E+05
250,Ru-106,1.44E+05
264,Ru-106,1.18E+05
337,Ru-106,4.81E+04
463,Ru-106,
477,Ru-106,1.89E+05
525,Ru-106,1.04E+05
335,Ru-106,1.92E+05
431,Ru-106,
43,Ru-106,1.89E+05
114,Ru-106,2.26E+05
129,Ru-106,2.00E+05
280,Ru-106,1.96E+05
307,Ru-106,2.70E+05
360,Ru-106,
402,Ru-106,9.25E+04
405,Ru-106,6.66E+04
432,Ru-106,5.92E+04
42,Ru-106,1.37E+05
206,Ru-106,
249,Ru-106,2.63E+05
281,Ru-106,3.37E+05
354,Ru-106,2.96E+04
355,Ru-106,
444,Ru-106,7.40E+04
448,Ru-106,1.30E+05
70,Ru-106,6.29E+04
98,Ru-106,2.22E+05
142,Ru-106,7.47E+05
143,Ru-106,6.03E+05
390,Ru-106,6.29E+04
404,Ru-106,1.85E+05
427,Ru-106,4.33E+05
28,Ru-106,2.89E+05
128,Ru-106,3.59E+05
265,Ru-106,1.15E+05
293,Ru-106,
319,Ru-106,2.26E+05
321,Ru-106,3.03E+05
388,Ru-106,6.29E+04
416,Ru-106,6.66E+04
430,Ru-106,9.25E+04
14,Ru-106,1.04E+05
127,Ru-106,3.44E+05
158,Ru-106,3.44E+05
171,Ru-106,2.59E+05
218,Ru-106,3.44E+05
219,Ru-106,3.26E+05
305,Ru-106,1.07E+05
351,Ru-106,
352,Ru-106,1.40E+05
359,Ru-106,
368,Ru-106,2.00E+05
386,Ru-106,
389,Ru-106,4.07E+04
415,Ru-106,1.18E+05
442,Ru-106,2.85E+05
443,Ru-106,1.89E+05
510,Ru-106,9.25E+04
292,Ru-106,4.55E+05
450,Ru-106,1.22E+05
13,Ru-106,1.89E+05
55,Ru-106,3.18E+05
88,Ru-106,
233,Ru-106,3.85E+05
304,Ru-106,3.66E+05
306,Ru-106,3.66E+05
318,Ru-106,2.55E+05
372,Ru-106,8.51E+04
478,Ru-106,1.67E+05
494,Ru-106,
495,Ru-106,1.22E+05
279,Ru-106,3.15E+05
480,Ru-106,1.18E+05
508,Ru-106,2.89E+05
97,Ru-106,5.33E+05
111,Ru-106,3.26E+05
185,Ru-106,2.11E+05
217,Ru-106,1.22E+06
247,Ru-106,2.18E+05
263,Ru-106,4.66E+05
303,Ru-106,6.44E+05
317,Ru-106,6.29E+05
334,Ru-106,1.52E+05
385,Ru-106,4.14E+05
426,Ru-106,3.07E+05
440,Ru-106,2.66E+05
447,Ru-106,
509,Ru-106,2.78E+05
536,Ru-106,4.07E+05
538,Ru-106,3.48E+05
12,Ru-106,2.66E+05
41,Ru-106,1.26E+05
262,Ru-106,3.18E+05
413,Ru-106,7.88E+05
462,Ru-106,
27,Ru-106,3.63E+05
100,Ru-106,1.92E+05
184,Ru-106,6.81E+05
232,Ru-106,8.51E+04
277,Ru-106,8.10E+05
289,Ru-106,7.22E+05
291,Ru-106,3.40E+05
384,Ru-106,2.52E+05
395,Ru-106,2.11E+05
412,Ru-106,2.78E+05
435,Ru-106,1.63E+05
445,Ru-106,3.37E+05
460,Ru-106,6.51E+05
461,Ru-106,7.07E+05
492,Ru-106,3.03E+05
539,Ru-106,1.10E+05
290,Ru-106,4.07E+05
302,Ru-106,4.07E+05
331,Ru-106,4.59E+05
449,Ru-106,1.07E+05
464,Ru-106,1.11E+05
401,Ru-106,4.63E+05
82,Ru-106,
108,Ru-106,7.88E+05
110,Ru-106,5.03E+05
126,Ru-106,4.74E+06
141,Ru-106,8.62E+05
169,Ru-106,5.25E+05
183,Ru-106,8.14E+05
301,Ru-106,4.18E+05
411,Ru-106,3.92E+05
428,Ru-106,2.37E+05
434,Ru-106,1.55E+05
441,Ru-106,5.25E+05
446,Ru-106,4.59E+05
465,Ru-106,1.18E+05
507,Ru-106,3.59E+05
522,Ru-106,2.26E+05
523,Ru-106,3.03E+05
524,Ru-106,3.48E+05
40,Ru-106,4.81E+05
80,Ru-106,5.22E+05
96,Ru-106,3.77E+05
203,Ru-106,9.84E+05
261,Ru-106,1.26E+06
288,Ru-106,4.81E+05
316,Ru-106,5.70E+05
439,Ru-106,6.66E+05
457,Ru-106,5.59E+05
458,Ru-106,3.26E+05
459,Ru-106,4.33E+05
537,Ru-106,2.04E+05
81,Ru-106,1.02E+06
246,Ru-106,7.88E+05
350,Ru-106,7.03E+05
398,Ru-106,8.14E+05
95,Ru-106,1.41E+06
109,Ru-106,5.51E+05
231,Ru-106,1.28E+06
276,Ru-106,7.14E+05
366,Ru-106,6.92E+05
382,Ru-106,7.59E+05
396,Ru-106,1.24E+06
408,Ru-106,5.11E+05
479,Ru-106,2.78E+05
26,Ru-106,2.59E+05
125,Ru-106,6.88E+05
140,Ru-106,1.18E+06
155,Ru-106,1.14E+06
168,Ru-106,7.55E+05
181,Ru-106,3.92E+06
202,Ru-106,9.32E+05
229,Ru-106,2.33E+06
230,Ru-106,8.21E+05
308,Ru-106,8.51E+04
424,Ru-106,1.15E+06
425,Ru-106,1.01E+06
433,Ru-106,2.26E+05
476,Ru-106,3.96E+05
491,Ru-106,1.07E+06
521,Ru-106,6.07E+05
11,Ru-106,5.07E+05
154,Ru-106,5.92E+05
275,Ru-106,7.92E+05
287,Ru-106,9.84E+05
332,Ru-106,1.12E+06
123,Ru-106,3.85E+05
124,Ru-106,2.83E+06
153,Ru-106,1.09E+06
167,Ru-106,1.09E+06
173,Ru-106,1.04E+05
259,Ru-106,8.03E+05
260,Ru-106,1.20E+06
