Chornobyl_Center_ID,Biota_latin_name,Biota_common_name,Date_sampled,Site_Location_within_Chernobyl_exclusion_zone,Sex,Fresh_mass_of_biota_grams,Mass_of_biota_carcass_grams,Notes,Sr-90<,Sr-90_Bq_per_sample,error_Sr-90_Bq_per_Sample,Cs-137<,Cs-137_Bq_per_sample,error_Cs-137_Bq_per_Sample,"Pu-239,240_Bq_per_sample","error_Pu-239,240_Bq_per_Sample",Pu-238<,Pu-238_Bq_per_sample,error_Pu-238_Bq_per_Sample,Sr-90_Bq_per_kg_FW,Cs-137_Bq_per_kg_FW,"Pu-239,240_Bq_per_kg_FW",Pu-238<,Pu-238_Bq_per_kg_FW,Sr-90_Concentration_ratio,Cs-137_Concentration_ratio,"Pu-239,40_Concentration_ratio",Pu-238<,Pu-238_isotope_Concentration_ratio
G007243,Turdus merula,Common blackbird,15/06/2005,Medium,Male,61.2,n/a,without feather and gut,n/a,1.77E+02,2.15E+00,n/a,2.53E+02,1.30E+01,3.33E-03,4.03E-04,n/a,1.43E-03,2.13E-04,2.89E+03,4.14E+03,5.44E-02,n/a,2.34E-02,1.56E-01,9.56E-02,9.15E-02,n/a,1.01E-01
G007252,Pipistrellus pipistrellus,Common pipistrelle,18/05/2008,Medium,Male,6.4,n/a,without gut,n/a,2.82E+01,3.78E-01,n/a,1.85E+00,1.67E-01,4.61E-04,1.46E-04,<,3.17E-04,n/a,4.41E+03,2.89E+02,7.20E-02,<,4.95E-02,2.38E-01,6.67E-03,1.21E-01,<,2.14E-01
G007253,Pipistrellus pipistrellus,Common pipistrelle,18/05/2008,Medium,Male,6.1,n/a,without gut,n/a,1.66E+02,7.68E-01,n/a,1.88E+00,1.69E-01,3.08E-04,9.73E-05,n/a,3.21E-04,6.43E-05,2.71E+04,3.08E+02,5.04E-02,n/a,5.27E-02,1.46E+00,7.12E-03,8.48E-02,n/a,2.28E-01
G007254,Pipistrellus pipistrellus,Common pipistrelle,18/05/2008,Medium,Male,6.7,n/a,without gut,n/a,9.76E+01,7.89E-01,n/a,1.09E+00,2.25E-01,2.65E-04,7.08E-05,n/a,2.51E-04,4.19E-05,1.46E+04,1.62E+02,3.95E-02,n/a,3.75E-02,7.85E-01,3.74E-03,6.65E-02,n/a,1.62E-01
G007255,Plecotus auritus,Brown long-eared bat,18/05/2008,Medium,Female,8.7,n/a,without gut,n/a,1.96E+02,1.63E+00,n/a,5.37E+01,2.86E+00,1.04E-03,1.34E-04,n/a,5.77E-04,7.10E-05,2.25E+04,6.17E+03,1.19E-01,n/a,6.63E-02,1.22E+00,1.43E-01,2.00E-01,n/a,2.87E-01
G007256,Plecotus auritus,Brown long-eared bat,1/6/2008,Medium,Male,7.8,n/a,without gut,n/a,1.02E+02,1.58E+00,n/a,2.70E+01,1.81E+00,1.38E-04,4.86E-05,n/a,1.12E-04,2.01E-05,1.31E+04,3.46E+03,1.76E-02,n/a,1.43E-02,7.07E-01,7.98E-02,2.97E-02,n/a,6.20E-02
G007257,Plecotus auritus,Brown long-eared bat,1/6/2008,Medium,Male,6.8,n/a,without gut,n/a,3.70E+01,9.55E-01,n/a,5.45E+00,6.16E-01,3.65E-04,6.77E-05,n/a,1.30E-04,2.08E-05,5.44E+03,8.02E+02,5.36E-02,n/a,1.91E-02,2.93E-01,1.85E-02,9.02E-02,n/a,8.27E-02
G007258,Nyctalus leisleri,Leislers bat,1/6/2008,Medium,Male,11.9,n/a,without gut,n/a,2.37E+01,9.96E-01,n/a,1.63E+01,1.24E+00,4.41E-04,7.57E-05,n/a,2.16E-04,2.99E-05,1.99E+03,1.37E+03,3.71E-02,n/a,1.81E-02,1.07E-01,3.17E-02,6.24E-02,n/a,7.85E-02
G007259,Nyctalus leisleri,Leislers bat,1/6/2008,Medium,Female,12.3,n/a,without gut,n/a,1.28E+02,1.72E+00,n/a,1.29E+01,1.06E+00,1.98E-04,9.90E-05,n/a,6.99E-05,2.47E-05,1.04E+04,1.05E+03,1.61E-02,n/a,5.69E-03,5.62E-01,2.42E-02,2.71E-02,n/a,2.46E-02
G007260,Nyctalus leisleri,Leislers bat,1/6/2008,Medium,Male,13.6,n/a,without gut,n/a,2.42E+01,9.89E-01,n/a,1.37E+01,1.11E+00,5.77E-04,1.74E-04,n/a,1.22E-04,3.53E-05,1.78E+03,1.01E+03,4.24E-02,n/a,8.98E-03,9.59E-02,2.33E-02,7.14E-02,n/a,3.88E-02
